model,threshold_level,threshold_key,phone_group,target_phone,threshold,dev_n_samples,dev_positive_rate,dev_balanced_accuracy,fallback_used
feature_logreg,phone_group,affricate,affricate,,0.05,61,0.983607,0.495868,0
feature_logreg,phone_group,fricative,fricative,,0.31,1477,0.966148,0.569338,0
feature_logreg,phone_group,glide,glide,,0.47,438,0.974886,0.590654,0
feature_logreg,phone_group,liquid,liquid,,0.32,601,0.955075,0.58113,0
feature_logreg,phone_group,nasal,nasal,,0.37,983,0.960326,0.528928,0
feature_logreg,phone_group,stop,stop,,0.49,1676,0.961814,0.516043,0
feature_logreg,phone_group,vowel,vowel,,0.35,3552,0.936092,0.530111,0
feature_random_forest,phone_group,affricate,affricate,,0.05,61,0.983607,0.495868,0
feature_random_forest,phone_group,fricative,fricative,,0.33,1477,0.966148,0.559843,0
feature_random_forest,phone_group,glide,glide,,0.25,438,0.974886,0.626945,0
feature_random_forest,phone_group,liquid,liquid,,0.26,601,0.955075,0.565202,0
feature_random_forest,phone_group,nasal,nasal,,0.36,983,0.960326,0.539519,0
feature_random_forest,phone_group,stop,stop,,0.55,1676,0.961814,0.514283,0
feature_random_forest,phone_group,vowel,vowel,,0.43,3552,0.936092,0.522047,0
